sensor,ensemble_score,rf_importance_score,perm_importance_score,ablation_score,correlation_score
sensor_11,0.9037213718565007,1.0,1.0,0.6148854874260034,1.0
sensor_12,0.44091567453669744,0.05654983446083,0.2236480324505865,1.0,0.9567391284074314
sensor_9,0.3935761159741874,0.25096171745618795,0.7358293296665628,0.0,0.6074733535403412
sensor_7,0.3297205976735862,0.04215387830851474,0.11301723521766299,0.7357848366074605,0.935721927029846
sensor_4,0.32758411339492666,0.15999876463906285,0.20984567698382806,0.43500358529346816,0.9738760073550097
sensor_15,0.32053903418894664,0.027816027124412643,0.061833113179914974,0.795534430415243,0.9166902883484184
sensor_21,0.2907898668177114,0.022676955389400424,0.04877585492616612,0.7071472492542302,0.9012841866317559
sensor_2,0.2892846644560159,0.019718601081179066,0.04634301531967416,0.7261224963447099,0.8561840468359875
sensor_3,0.1649584762102695,0.019620723086803637,0.025395614375604544,0.2701800519703891,0.8263878126016952
sensor_14,0.14779698423611015,0.042640065123649255,0.03387664583729319,0.30160592480196835,0.47746657455470687
sensor_20,0.1113635472766513,0.018775067025378508,0.04588316533212613,0.0,0.8967191930279361
sensor_13,0.10066515371013979,0.019423068894684557,0.05339862384858502,0.0,0.7614871469472966
sensor_8,0.09062319014567323,0.014533144275169083,0.028250299243208637,0.0,0.7637564212799948
sensor_17,0.0906177866243169,0.0062022275989905154,0.007587380267472577,0.0,0.8610153525100434
sensor_6,0.0,0.0,0.0,0.0,0.0
