sensor,importance_mean,importance_std
sensor_15,0.8490297753972881,0.007096947635794531
sensor_13,0.34126335082160186,0.0030851715269588653
sensor_11,0.24397812382748563,0.0020226254516247737
sensor_14,0.1125987881988951,0.0019268766307946883
sensor_9,0.09206989852423893,0.0007682343378066552
sensor_4,0.06797972246931369,0.001083191627121954
sensor_6,0.03946290442686175,0.0011620990414259135
sensor_12,0.025197024245800982,0.0007117068260300497
sensor_2,0.014950401824290138,0.0004883037949039569
sensor_7,0.01473482238050452,0.00040011119080834073
sensor_8,0.012083099556049826,0.00029499865411695476
sensor_3,0.010089995636060934,0.0002788614619760241
sensor_21,0.00531939309696926,0.00026063350144062136
sensor_20,0.0038330685639773377,0.0002003161466730762
sensor_17,0.002566605335666605,8.95446764440748e-05
